Name,Description,Type
Amazon SageMaker Ground Truth,Build accurate ML training datasets,Machine Learning
Amazon Simple Email Service (SES),Email sending and receiving,Customer Engagement
Amazon Simple Notification Service (SNS),"Pub/sub, SMS, email, and mobile push notifications",Application Integration
Amazon Simple Queue Service (SQS),Managed message queues,Application Integration
Amazon Simple Storage Service (S3),Scalable storage in the cloud,Storage
Amazon Sumerian,Build and run VR and AR applications,AR & VR
Amazon Textract,Extract text and data from documents,Machine Learning
Amazon Timestream,Fully managed time series database,Databases
Amazon Transcribe,Automatic speech recognition,Machine Learning
Amazon Translate,Natural and fluent language translation,Machine Learning
Amazon VPC,Isolated cloud resources,Networking
Amazon WorkDocs,Secure enterprise document storage and sharing,Business Applications
Amazon WorkLink,Enable mobile access to internal websites,End User Computing
Amazon WorkMail,Secure email and calendaring,Business Applications
Amazon WorkSpaces,Virtual desktops in the cloud,End User Computing
Apache MXNet on AWS,"Scalable, open-source deep learning framework",Machine Learning
AWS Amplify,Build and deploy mobile and web applications,Mobile
AWS App Mesh,Monitor and control microservices,Networking
AWS App2Container,Containerize and migrate existing applications,Containers
AWS Application Discovery Service,Discover on-premises applications to streamline migration,Migration
AWS AppSync,"Power your apps with the right data from many sources, at scale",Application Integration
AWS AppSync,"Power your apps with the right data from many sources, at scale",Mobile
AWS Artifact,On-demand access to AWS' compliance reports,"Security, Identity & Compliance"
AWS Auto Scaling,Scale multiple resources to meet demand,Management & Governance
AWS Backup,Centralized backup across AWS services,Storage
AWS Batch,Run batch jobs at any scale,Compute
AWS Budgets,Set custom cost and usage budgets,Cost Management
AWS Certificate Manager,"Provision, manage, and deploy SSL/TLS certificates","Security, Identity & Compliance"
AWS Chatbot,ChatOps for AWS,Management & Governance
AWS Cloud Development Kit (CDK),Model cloud infrastructure using code,Developer Tools
AWS Cloud Map,Service discovery for cloud resources,Networking
AWS Cloud9,"Write, run, and debug code on a cloud IDE",Developer Tools
AWS CloudFormation,Create and manage resources with templates,Management & Governance
AWS CloudHSM,Hardware-based key storage for regulatory compliance,"Security, Identity & Compliance"
AWS CloudTrail,Track user activity and API usage,Management & Governance
AWS CodeArtifact,"Secure, scalable, and cost-effective artifact management for software development",Developer Tools
AWS CodeBuild,Build and test code,Developer Tools
AWS CodeCommit,Store code in private Git repositories,Developer Tools
AWS CodeDeploy,Automate code deployment,Developer Tools
AWS CodePipeline,Release software using continuous delivery,Developer Tools
AWS CodeStar,Develop and deploy AWS applications,Developer Tools
AWS Command Line Interface,Unified tool to manage AWS services,Developer Tools
AWS Command Line Interface,Unified tool to manage AWS services,Management & Governance
AWS Compute Optimizer,Identify optimal AWS Compute resources,Management & Governance
AWS Config,Track resources inventory and changes,Management & Governance
AWS Console Mobile Application,Access resources on the go,Management & Governance
AWS Control Tower,"Set-up and govern a secure, compliant multi-account environment",Management & Governance
AWS Cost and Usage Report,Access comprehensive cost and usage information,Cost Management
AWS Cost Explorer,Analyze your AWS cost and usage,Cost Management
AWS Data Exchange,"Find, subscribe to, and use third-party data in the cloud",Analytics
AWS Data Pipeline,"Orchestration service for periodic, data-driven workflows",Analytics
AWS Database Migration Service,Migrate databases with minimal downtime,Databases
AWS Database Migration Service,Migrate databases with minimal downtime,Migration
AWS DataSync,"Simple, fast, online data transfer",Migration
AWS Deep Learning AMIs,Deep learning on Amazon EC2,Machine Learning
AWS Deep Learning Containers,Docker images for deep learning,Machine Learning
AWS DeepComposer,ML enabled musical keyboard,Machine Learning
AWS DeepLens,Deep learning enabled video camera,Machine Learning
AWS DeepRacer,"Autonomous 1/18th scale race car, driven by ML",Machine Learning
AWS Device Farm,"Test Android, iOS, and web apps on real devices in the AWS cloud",Developer Tools
AWS Device Farm,"Test Android, iOS, and web apps on real devices in the AWS cloud",Mobile
AWS Direct Connect,Dedicated network connection to AWS,Networking
AWS Directory Service,Host and manage active directory,"Security, Identity & Compliance"
AWS Elastic Beanstalk,Run and manage web apps,Compute
AWS Elemental Appliances & Software,On-premises media solutions,Media
AWS Elemental MediaConnect,Reliable and secure live video transport,Media
AWS Elemental MediaConvert,Convert file-based video content,Media
AWS Elemental MediaLive,Convert live video content,Media
AWS Elemental MediaPackage,Video origination and packaging,Media
AWS Elemental MediaStore,Media storage and simple http origin,Media
AWS Elemental MediaTailor,Video personalization and monetization,Media
AWS Fargate,Serverless compute for containers,Containers
AWS Firewall Manager,Central management of firewall rules,"Security, Identity & Compliance"
AWS Global Accelerator,Improve application availability and performance,Networking
AWS Glue,Prepare and load data,Analytics
AWS Greengrass,"Local compute, messaging, and sync for devices",IoT
AWS Ground Station,Fully managed ground station as a service,Satellite
AWS Identity and Access Management (IAM),Securely manage access to services and resources,"Security, Identity & Compliance"
AWS Inferentia,Machine learning inference chip,Machine Learning
AWS IoT 1-Click,One click creation of an AWS Lambda trigger,IoT
AWS IoT Analytics,Analytics for IoT devices,IoT
AWS IoT Button,Cloud programmable dash button,IoT
AWS IoT Core,Connect devices to the cloud,IoT
AWS IoT Device Defender,Security management for IoT devices,IoT
AWS IoT Device Management,"Onboard, organize, and remotely manage IoT devices",IoT
AWS IoT Events,IoT event detection and response,IoT
AWS IoT SiteWise,IoT data collector and interpreter,IoT
AWS IoT Things Graph,Easily connect devices and web services,IoT
AWS Key Management Service,Managed creation and control of encryption keys,"Security, Identity & Compliance"
AWS Lake Formation,Build a secure data lake in days,Analytics
AWS Lambda,Run code without thinking about servers,Compute
AWS License Manager,"Track, manage, and control licenses",Management & Governance
AWS Managed Services,Infrastructure operations management for AWS,Management & Governance
AWS Management Console,Web-based user interface,Management & Governance
AWS Migration Hub,Track migrations from a single place,Migration
AWS OpsWorks,Automate operations with Chef and Puppet,Management & Governance
AWS Organizations,Central governance and management across AWS accounts,Management & Governance
AWS Outposts,Run AWS infrastructure on-premises,Compute
AWS Partner Device Catalog,Curated catalog of AWS-compatible IoT hardware,IoT
AWS Personal Health Dashboard,Personalized view of AWS service health,Management & Governance
AWS PrivateLink,Securely access services hosted on AWS,Networking
AWS Resource Access Manager,"Simple, secure service to share AWS resources","Security, Identity & Compliance"
AWS RoboMaker,"Develop, test, and deploy robotics applications",Robotics
AWS Secrets Manager,"Rotate, manage, and retrieve secrets","Security, Identity & Compliance"
AWS Security Hub,Unified security and compliance center,"Security, Identity & Compliance"
AWS Server Migration Service,Migrate on-premises servers to AWS,Migration
AWS Serverless Application Repository,"Discover, deploy, and publish serverless applications",Compute
AWS Service Catalog,Create and use standardized products,Management & Governance
AWS Shield,DDoS protection,"Security, Identity & Compliance"
AWS Single Sign-On,Cloud single sign-on (SSO) service,"Security, Identity & Compliance"
AWS Snow Family,"Physical devices to aggregate and process data in edge locations, then transfer to AWS",Compute
AWS Snow Family,Physical devices to migrate data into and out of AWS,Migration
AWS Snow Family,Physical edge computing and storage devices for rugged or disconnected environments,Storage
AWS Step Functions,Coordination for distributed applications,Application Integration
AWS Storage Gateway,Hybrid storage integration,Storage
AWS Systems Manager,Gain operational insights and take action,Management & Governance
AWS Tools and SDKs,Tools and SDKs for AWS,Developer Tools
AWS Transfer Family,"Fully managed SFTP, FTPS, and FTP service",Migration
AWS Transit Gateway,Easily scale VPC and account connections,Networking
AWS Trusted Advisor,Optimize performance and security,Management & Governance
AWS WAF,Filter malicious web traffic,"Security, Identity & Compliance"
AWS Wavelength,Deliver ultra-low latency applications for 5G devices,Compute
AWS Well-Architected Tool,Review and improve your workloads,Management & Governance
AWS X-Ray,Analyze and debug your applications,Developer Tools
CloudEndure Disaster Recovery,Highly automated disaster recovery,Storage
CloudEndure Migration,Automate your mass migration to the AWS cloud,Migration
Contact Lens for Amazon Connect,Contact center analytics powered by ML,Customer Engagement
Elastic Load Balancing (ELB),Distribute incoming traffic across multiple targets,Networking
FreeRTOS,Real-time operating system for microcontrollers,IoT
Migration Evaluator (formerly TSO Logic),Create a business case for cloud migration,Migration
PyTorch on AWS,Flexible open-source machine learning framework,Machine Learning
Reserved Instance Reporting,Dive deeper into your reserved instances (RIs),Cost Management
Savings Plans,Save up to 72% on compute usage with flexible pricing,Cost Management
TensorFlow on AWS,Open-source machine intelligence library,Machine Learning
VMware Cloud on AWS,Build a hybrid cloud without custom hardware,Compute
